Country.ID,Year,grgdp_p,cpi,interestrate,unem,savingrate,r_young,r_mid,r_old,r_imm
KOR,2003,2.5418501236108337,3.515,4.305833333,3.55,33.157,0.2010070745120289,0.7090248684915731,0.08177410816297598,0.008193948833421985
KOR,2004,4.76758561376931,3.591,3.7875,3.658,35.614,0.19697063397524237,0.7081138800637787,0.08573888979839028,0.009176596162588627
KOR,2005,4.137225338572792,2.754,3.649166667,3.75,33.934,0.1921175686252284,0.7080220483124885,0.08970263383218346,0.010157749230099596
KOR,2006,4.6937077737646105,2.242,4.475833333,3.475,32.975,0.18637916820356742,0.7078514974555277,0.09383659208356447,0.01193274225734037
KOR,2007,5.308562368375558,2.535,5.160833333,3.258,33.57,0.18028266504429805,0.707891075073843,0.09813469573329228,0.01369156414856674
KOR,2008,2.225236810121678,4.674,5.4875,3.175,33.378,0.17407181285871992,0.7085139817728303,0.10197846646984925,0.015435738898600442
KOR,2009,0.3022991068968084,2.756,2.628333333,3.633,33.27,0.16807212372774402,0.7092026497009225,0.1055623126822466,0.017162913889086952
KOR,2010,6.449970287824192,2.939,2.671666667,3.708,35.061,0.16230528683163745,0.7095478905724207,0.10928277519484195,0.01886404740109986
KOR,2011,2.8937644526031203,4.026,3.4375,3.408,34.457,0.15618154369647302,0.7104700289563044,0.11278626462105795,0.020562162726164544
KOR,2012,2.0099667818026523,2.187,3.2975,3.225,34.445,0.14998419291034518,0.7115950267279988,0.11623603179942282,0.022184748562233278
